sample_index,timestamp_sec,raw,voltage_v
120654,7.540875,-29865,0.0
120655,7.5409375,-29864,0.0
120656,7.541,-29864,0.0
120657,7.5410625,-29863,0.0
120658,7.541125,-29866,0.0
120659,7.5411875,-29862,0.0
120660,7.54125,-29861,0.0
120661,7.5413125,-29863,0.0
120662,7.541375,-29861,0.0
120663,7.5414375,-29866,0.0
120664,7.5415,-29864,0.0
120665,7.5415625,-29867,0.0
120666,7.541625,-29869,0.0
120667,7.5416875,-29861,0.0
120668,7.54175,-29859,0.0
120669,7.5418125,-29855,0.0
120670,7.541875,-29857,0.0
120671,7.5419375,-29858,0.0
120672,7.542,-29861,0.0
120673,7.5420625,-29860,0.0
120674,7.542125,-29861,0.0
120675,7.5421875,-29859,0.0
120676,7.54225,-29859,0.0
120677,7.5423125,-29856,0.0
120678,7.542375,-29857,0.0
120679,7.5424375,-29860,0.0
120680,7.5425,-29858,0.0
120681,7.5425625,-29862,0.0
120682,7.542625,-29866,0.0
120683,7.5426875,-29862,0.0
120684,7.54275,-29857,0.0
120685,7.5428125,-29851,0.0
120686,7.542875,-29847,0.0
120687,7.5429375,-29852,0.0
120688,7.543,-29855,0.0
120689,7.5430625,-29852,0.0
120690,7.543125,-29859,0.0
120691,7.5431875,-29858,0.0
120692,7.54325,-29854,0.0
120693,7.5433125,-29855,0.0
120694,7.543375,-29853,0.0
120695,7.5434375,-29855,0.0
120696,7.5435,-29852,0.0
120697,7.5435625,-29852,0.0
120698,7.543625,-29850,0.0
120699,7.5436875,-29855,0.0
120700,7.54375,-29861,0.0
120701,7.5438125,-29856,0.0
120702,7.543875,-29849,0.0
120703,7.5439375,-29851,0.0
120704,7.544,-29858,0.0
120705,7.5440625,-29854,0.0
120706,7.544125,-29854,0.0
120707,7.5441875,-29861,0.0
120708,7.54425,-29855,0.0
120709,7.5443125,-29854,0.0
120710,7.544375,-29856,0.0
120711,7.5444375,-29850,0.0
120712,7.5445,-29854,0.0
120713,7.5445625,-29849,0.0
120714,7.544625,-29853,0.0
120715,7.5446875,-29857,0.0
120716,7.54475,-29856,0.0
120717,7.5448125,-29857,0.0
120718,7.544875,-29854,0.0
120719,7.5449375,-29850,0.0
120720,7.545,-29853,0.0
120721,7.5450625,-29856,0.0
120722,7.545125,-29857,0.0
120723,7.5451875,-29860,0.0
120724,7.54525,-29865,0.0
120725,7.5453125,-29864,0.0
120726,7.545375,-29857,0.0
120727,7.5454375,-29856,0.0
120728,7.5455,-29861,0.0
120729,7.5455625,-29864,0.0
120730,7.545625,-29863,0.0
120731,7.5456875,-29861,0.0
120732,7.54575,-29856,0.0
120733,7.5458125,-29858,0.0
120734,7.545875,-29864,0.0
120735,7.5459375,-29858,0.0
120736,7.546,-29856,0.0
120737,7.5460625,-29857,0.0
120738,7.546125,-29862,0.0
120739,7.5461875,-29861,0.0
120740,7.54625,-29859,0.0
120741,7.5463125,-29858,0.0
120742,7.546375,-29862,0.0
120743,7.5464375,-29853,0.0
120744,7.5465,-29857,0.0
120745,7.5465625,-29854,0.0
120746,7.546625,-29859,0.0
120747,7.5466875,-29859,0.0
120748,7.54675,-29855,0.0
